thuyg20_data\F001_001.wav	biz nechche yil tirishish arqiliq bu qaqas yerni axiri munbet étizgha aylandurduq
thuyg20_data\F001_002.wav	bu dorini hélila qaynatqan chaqqan bol issiqida ichiwalghin
thuyg20_data\F001_003.wav	edebiyat mu’ellim kishige haman yéqimliq tuyulidu
thuyg20_data\F001_004.wav	séning bu qilghining xuddi changqighan’gha su bergendek ish boldi köptin köp rehmet
thuyg20_data\F001_005.wav	yamghurdin kéyinki hawa xuddi süzüp tazilan’ghandek intayin sap bolidu
thuyg20_data\F001_006.wav	qar barghanche qattiq yaghdi yoldiki piyadiler téximu shalanglap ketti
thuyg20_data\F001_007.wav	bu qétimqi ilgharlarni bahalash adil bolghachqa köpchilik chin könglidin qayil boldi
thuyg20_data\F001_008.wav	netijisi asasiy orunda turidu yétersizlikimu az emes bu baha adil bolghandu
thuyg20_data\F001_009.wav	medeniy sinip bolup bahalinishni qolgha keltürüsh sinipimizdiki barliq sawaqdashlarning ortaq küresh nishani bolup qaldi
thuyg20_data\F001_010.wav	chetke chiqip bilim igiligendin kéyin qaytip kélimen teshkilning manga bolghan ishenchini hergiz yerde qoymaymen
thuyg20_data\F001_012.wav	u yashan’ghan tenha adem da’im chayxanidin chiqmay bashqilar bilen parangliship olturushqa amraq
thuyg20_data\F001_011.wav	weziyetning tereqqiyati perizimning toghra ikenlikini ispatlidi
thuyg20_data\F001_014.wav	eyiblesh kishini chüshkünleshtüridu ilhamlandurush kishini rohlanduridu
thuyg20_data\F001_013.wav	u etrapidikilerning hemmisi yat ademler ikenlikini körüp birdinla yalghuzluq hés qildi
thuyg20_data\F001_015.wav	biz yéziqchiliqqa matériyal toplashta turmushini köp közitishimiz lazim
thuyg20_data\F001_016.wav	mektepning türlük qa’ide tüzümliri heqiqiy türde izchil ijra qilinishi shert
thuyg20_data\F001_017.wav	pütün memliketning her qaysi jaylirida keng kölemlik mehsulatni ashurup chiqimni téjesh herikiti qozghitildi
thuyg20_data\F001_018.wav	balilarning gödekliktin yétilgen’güche bolghan ötkünchi dewride ata anilar köprek köngül bölüshi lazim
thuyg20_data\F001_019.wav	yashan’ghanlar ötmüshni esleshke yashlar kelgüsini oylashqa amraq
thuyg20_data\F001_020.wav	bu kitabqa yézilghini sapla jin sheytanlarning hékayisi bolghachqa u oqughanséri qorqti
thuyg20_data\F001_022.wav	köpchilik közlirini chekcheytip oqutquchi ishlewatqan tejribini qiziqip körmekte idi
thuyg20_data\F001_021.wav	séning ilgirilishing üchün oqutquchi qanchilik zéhnini serp qildi he
thuyg20_data\F001_025.wav	keynige dajighan ademler yol yaqisidiki yaymilarni örüwetti
thuyg20_data\F001_023.wav	séning bir ishni axirghiche chidap dawamlashturidighan qet’iy iradeng kishini qayil qilidu
thuyg20_data\F001_027.wav	asasimiz bolmisa bashqilardin xalighanche gumanlansaq bolmaydu
thuyg20_data\F001_026.wav	oxshashmaydighan pikir bolsa köpchilik öz’ara muzakirileshse bolidu
thuyg20_data\F001_029.wav	shad xuramliq naxsha sadasi mektep asminida uzaqqiche yangridi
thuyg20_data\F001_028.wav	bahar keldi derex shaxliridiki qushlar xushalliqidin sayrashmaqta
thuyg20_data\F001_030.wav	ay yersharini chöridep aylinidighan hemrahidur
thuyg20_data\F001_031.wav	meghlubiyet qorqunchluq emes qorqunchluqi meghlubiyettin kéyinki rohsizlinish
thuyg20_data\F001_032.wav	doxtur héliqi bihosh ademni qutquzuwatidu
thuyg20_data\F001_033.wav	uning beden sapasi yaxshi bolghachqa bu xil jiddiy heriketke maslishalaydu
thuyg20_data\F001_034.wav	u özi yéngi ijad qilghan naxsha tékistini manga qaynaq héssiyat bilen déklamatsiye qilip berdi
thuyg20_data\F001_035.wav	u mexsus xatire tutup pasahetlik jümlilerni toplidi
thuyg20_data\F001_036.wav	mektep yazliq tetilge qoyup berdi dadam apam méni momamningkige qoyup qoydi
thuyg20_data\F001_037.wav	yashlar ösmürler japa musheqqetlik shara’itta özlirining iradisini chéniqturushi lazim
thuyg20_data\F001_039.wav	dalada charlash élip bériwatqan künlerde turmushimiz intayin japaliq boldi
thuyg20_data\F001_041.wav	her qaysi tür musabiqiside yéngip chiqqanlar mukapatlandi
thuyg20_data\F001_042.wav	biz heqiqetni emeliyettin izdeshke ezeldin ehmiyet bérip kelduq
thuyg20_data\F001_043.wav	ular ikkisi bek qizghin mungdiship kétip derske kirish qongghuriqining chélin’ghanliqinimu anglimay qéliptu
thuyg20_data\F001_044.wav	téléfondin qutquzush mashinisi téz dégen taqetsizlen’gen awaz keldi
thuyg20_data\F001_045.wav	téxnik xadim bu eswabning éghish ehwalini chértyozhdiki chüshendürüsh boyiche ongshidi
thuyg20_data\F001_046.wav	xataliq we ongushsizliqlar bizge sawaq boldi shundaqla bizni zérekleshtürüwetti
thuyg20_data\F001_049.wav	akam kompyutérgha puxta
thuyg20_data\F001_048.wav	oyun qaltis oynalghachqa tamashibinlarning qizghin alqishigha érishti
thuyg20_data\F001_050.wav	ming bir japa musheqqetni béshidin ötküzüsh arqiliq u axir muweppeqiyet qazandi
thuyg20_data\F001_051.wav	biz özimizni kolléktipqa paydisiz ishni qilmasliq heqqide agahlandurup turushimiz lazim
thuyg20_data\F001_053.wav	xelq öz dahiysini söyidu
thuyg20_data\F001_052.wav	jisimlarning heriket haliti mutleq bolidu turghun haliti bolsa nispiy waqitliq bolidu
thuyg20_data\F001_056.wav	singlim oylimighan yerdin apamning so’aligha jawabmu bermestin öz béshimchiliq qilip kétip qaldi
thuyg20_data\F001_055.wav	uni tep tartmay mushundaq ishni qilidu dep hergiz oylimaptikenmen
thuyg20_data\F001_058.wav	men sotsiyalistik chong a’ilide yashashni intayin bextlik ish dep bilimen
thuyg20_data\F001_057.wav	mektep derwazisi aldida nurghun adem toplashqan idi
thuyg20_data\F001_060.wav	déngiz yüzining otturiche égizlikini ölchem qilghan égizlik mutleq égizliktur
thuyg20_data\F001_059.wav	apam méni bu yil yazliq tetilde ürümchige sayahetke aparmaqchi boldi
